id,ime,ocena,zaloga,cena
10255,Assembly Square,4.7675,true,25999
10265,Ford Mustang,4.8075,true,14999
10266,NASA Apollo 11 Lunar Lander,4.8272,true,8999
10270,Bookshop,4.2209,true,16999
10271,Fiat 500,4.2455,true,6999
10272,Old Trafford - Manchester United,4.4643,false,24499
10273,Haunted House,4.4033,true,25999
10274,Ghostbusters™ ECTO-1,4.5636,true,20999
10276,Colosseum,4.2945,true,47499
10278,Police Station,4.5068,true,16999
10279,Volkswagen T2 Camper Van,3.3472,true,13999
10280,Flower Bouquet,4.6095,true,5499
10281,Bonsai Tree,4.5771,true,4499
10282,adidas Originals Superstar,4.7308,true,7999
10283,NASA Space Shuttle Discovery,4.7042,true,16999
10284,Camp Nou – FC Barcelona,4.1892,false,17399
10289,Bird of Paradise,4.5472,true,8999
10290,Pickup Truck,4.1429,true,11499
10291,Queer Eye – The Fab 5 Loft,3.9362,true,5399
10292,The Friends Apartments,4.589,true,15999
10293,Santa’s Visit,4.7682,true,8999
10294,LEGO® Titanic,4.7469,false,58999
10295,Porsche 911,4.6418,true,14999
10298,Vespa 125,4,true,8999
10299,Real Madrid – Santiago Bernabéu Stadium,5,true,34499
10300,Back to the Future Time Machine,4.7027,true,16999
10302,Optimus Prime,4.319,true,15999
10303,Loop Coaster,4.0469,true,34499
10304,Chevrolet Camaro Z28,4.5714,true,14999
10306,Atari® 2600,4.6333,true,20999
10309,Succulents,4.8393,true,4499
10311,Orchid,4.9036,false,4499
10411,Learn About Chinese Culture,null,false,6999
10497,Galaxy Explorer,4.82,true,8999
10692,LEGO® Creative Bricks,3.8571,true,1299
10696,LEGO® Medium Creative Brick Box,4.68,true,2499
10698,LEGO® Large Creative Brick Box,4.5,true,4499
10713,Creative Suitcase,4.6,true,1799
10714,Blue Baseplate,4.1,true,799
10772,Mickey Mouse's Propeller Plane,4.3333,true,899
10773,Minnie Mouse's Ice Cream Shop,4.8889,true,1799
10774,Mickey Mouse \u0026 Minnie Mouse's Space Rocket,4.6429,true,1799
10775,Mickey Mouse \u0026 Donald Duck's Farm,4.9333,true,2499
10776,Mickey \u0026 Friends Fire Truck \u0026 Station,4.9048,true,4499
10777,Mickey Mouse and Minnie Mouse's Camping Trip,5,true,1799
10778,"Mickey, Minnie and Goofy's Fairground Fun",null,true,2499
10780,Mickey and Friends Castle Defenders,5,true,4499
10781,Miles Morales: Spider-Man’s Techno Trike,4.5,true,899
10782,Hulk vs. Rhino Truck Showdown,5,true,1799
10783,Spider-Man at Doc Ock’s Lab,4,false,2499
10784,Spider-Man Webquarters Hangout,5,true,4499
10872,Train Bridge and Tracks,3.5,true,1999
10874,Steam Train,3.4048,true,5999
10875,Cargo Train,4.1818,true,11499
10882,Train Tracks,3.75,true,1799
10899,Frozen Ice Castle,4.5714,true,4499
10913,Brick Box,4.5,true,2499
10914,Deluxe Brick Box,4,true,4499
10915,Alphabet Truck,3.7,false,2499
10920,Elsa and Olaf's Tea Party,3.3333,true,1799
10929,Modular Playhouse,4.4286,false,5499
10930,Bulldozer,null,true,899
10931,Truck \u0026 Tracked Excavator,4.5,true,1799
10933,Tower Crane \u0026 Construction,5,true,11499
10934,Creative animals,5,false,5499
10938,Dinosaur Nursery,4.9333,true,1799
10939,T. rex and Triceratops Dinosaur Breakout,4.8261,false,2499
10940,Spider-Man Headquarters,4.8889,false,2499
10941,Mickey \u0026 Minnie Birthday Train,4.5,true,2999
10942,Minnie's House and Café,4.9615,false,4499
10943,Happy Childhood Moments,5,false,8999
10944,Space Shuttle Mission,5,true,1799
10945,Garbage Truck and Recycling,5,true,1799
10946,Family Camping Van Adventure,5,false,2499
10947,Race Cars,4.8519,true,4499
10948,Car Park and Car Wash,4.8889,true,8999
10949,Farm Animal Care,4,true,899
10950,Farm Tractor \u0026 Animal Care,5,false,1799
10951,Horse Stable and Pony Care,5,false,2499
10952,"Barn, Tractor \u0026 Farm Animal Care",5,false,5999
10953,Unicorn,null,true,899
10954,Number Train - Learn To Count,5,true,1799
10955,Animal Train,5,true,1799
10956,Amusement Park,4.9412,true,11499
10957,Fire Helicopter \u0026 Police Car,3.5,true,899
10958,Creative Birthday Party,4,false,4999
10959,Police Station \u0026 Helicopter,5,true,4499
10960,Belle's Ballroom,5,true,1799
10961,Airplane \u0026 Airport,4.6667,true,2499
10962,Buzz Lightyear’s Planetary Mission,4.8333,true,2999
10963,Spider-Man \u0026 Friends: Funfair Adventure,null,true,5499
10964,Bath Time Fun: Floating Red Panda,4.7627,true,899
10965,Bath Time Fun: Floating Animal Train,4.4778,true,1799
10966,Bath Time Fun: Floating Animal Island,4.7052,true,3999
10967,Police Motorcycle,5,true,899
10968,Doctor Visit,4.9286,true,1799
10969,Fire Engine,4.875,true,2499
10970,Fire Station \u0026 Helicopter,4.7143,true,8999
10971,Wild Animals of Africa,null,true,899
10972,Wild Animals of the Ocean,4.9333,true,1799
10973,Wild Animals of South America,4.75,true,4499
10974,Wild Animals of Asia,null,true,8999
10975,Wild Animals of the World,5,true,11499
10976,Santa's Gingerbread House,3.6667,true,2999
10977,My First Puppy \u0026 Kitten With Sounds,null,true,3999
10978,Creative Building Time,4.8,true,3999
10979,Wild Animals of Europe,5,true,5499
10980,LEGO® DUPLO® Green Building Plate,null,true,1299
11006,Creative Blue Bricks,5,false,449
11008,Bricks and Houses,5,true,1799
11009,Bricks and Lights,5,false,2499
11010,White Baseplate,4.2857,true,799
11011,Bricks and Animals,5,true,5499
11012,Creative White Bricks,3.5,true,449
11013,Creative Transparent Bricks,3.6364,true,2999
11014,Bricks and Wheels,4,true,4499
11015,Around the World,4.875,true,4499
11016,Creative Building Bricks,5,false,4499
11017,Creative Monsters,5,true,899
11018,Creative Ocean Fun,5,true,1799
11019,Bricks and Functions,4.9412,true,2999
11020,Build Together,5,true,8999
11021,90 Years of Play,5,true,4499
11022,Space Mission,3.8333,true,6999
11023,Green Baseplate,4,false,799
11024,Gray Baseplate,5,true,1299
11025,Blue Baseplate,null,true,799
11026,White Baseplate,5,true,799
11717,Bricks Bricks Plates,5,true,5999
11998,LEGO® Pick A Brick,5,true,1349
17101,BOOST Creative Toolbox,3.3925,true,14999
2000409,Window Exploration Bag,3.5,true,31499
2000414,Starter Kit,4.0667,true,2199
2000430,Identity and Landscape Kit,3.7273,true,61499
2000431,Connections Kit,3.3333,true,48999
21028,New York City,4.2468,true,4499
21034,London,4.6349,true,3499
21042,Statue of Liberty,4.6168,true,8999
21044,Paris,4.5,true,4499
21051,Tokyo,4.4242,false,5499
21054,The White House,4.7273,true,8999
21056,Taj Mahal,4.7436,true,10499
21057,Singapore,4.5962,true,5499
21058,Great Pyramid of Giza,4.5385,true,11999
21158,The Panda Nursery,4.625,true,1799
21160,The Illager Raid,4.1538,true,5999
21161,The Crafting Box 3.0,3.5556,false,6999
21164,The Coral Reef,4.875,true,899
21165,The Bee Farm,4.9032,true,1799
21166,The \,4.8846,true,1999
21167,The Trading Post,4.8621,true,1999
21168,The Warped Forest,5,true,2499
21169,The First Adventure,4.8889,false,5499
21170,The Pig House,4.5385,true,4499
21171,The Horse Stable,4.6875,true,1799
21172,The Ruined Portal,4.5429,true,2499
21173,The Sky Tower,4.7083,false,5499
21174,The Modern Treehouse,4.8636,true,10499
21176,The Jungle Abomination,4.9167,false,3499
21177,The Creeper™ Ambush,4.3636,true,899
21178,The Fox Lodge,4.9286,true,1799
21179,The Mushroom House,4.9091,true,1799
21180,The Guardian Battle,5,true,1999
21181,The Rabbit Ranch,4.8077,true,2999
21183,The Training Grounds,5,true,5999
21184,The Bakery,4.5263,true,1999
21185,The Nether Bastion,4.9412,true,2999
21186,The Ice Castle,5,true,4499
21187,The Red Barn,4.9231,true,8999
21188,The Llama Village,4.4118,true,11499
